"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSHumanNameCore","EHDSHumanNameCore","","","",0,*,"","","","null {[]} {[]}
","Human name model","EHDS refined base model for Human name","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSHumanNameCore.family","EHDSHumanNameCore.family","","","",0,*,"","","","string {[]} {[]}
","Family","The family name/surname/last name of the patient. This field can contain more than one  element or multiple fields could be present.","","","","","","","","","",,,,,"",,,,"EHDSHumanNameCore.family",0,*,"",""
"EHDSHumanNameCore.given","EHDSHumanNameCore.given","","","",0,*,"","","","string {[]} {[]}
","Given","The given name/first name  (also known as forename or first name).","","","","","","","","","",,,,,"",,,,"EHDSHumanNameCore.given",0,*,"",""
