"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSObservationCore.specimen","EHDSObservationCore.specimen","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimenCore {[]} {[]}
","Specimen information","Specimen information","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.specimen",0,*,"",""
"EHDSObservationCore.method","EHDSObservationCore.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Observation method","Observation method (measurement principle) to obtain the result.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSObservationCore.method",0,1,"",""
"EHDSObservationCore.performer[x]","EHDSObservationCore.performer[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.performer[x]",0,1,"",""
"EHDSObservationCore.referenceRange","EHDSObservationCore.referenceRange","","","",0,*,"","","","Base {[]} {[]}
","Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.","Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.","Reference ranges are usually implied only for a numeric scale type. Use of the same units for reference range and value is implied.","","","","","","","","",,,,,"",,,,"EHDSObservationCore.referenceRange",0,*,"",""
"EHDSObservationCore.interpretation","EHDSObservationCore.interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Information about reference intervals and result interpretation.","Information about reference intervals and result interpretation.","","","","","","","","","",,"preferred","SNOMED CT, HL7 ObservationInterpretation","","",,,,"EHDSObservationCore.interpretation",0,*,"",""
"EHDSObservationCore.component","EHDSObservationCore.component","","","",0,*,"","","","Base {[]} {[]}
","Component in case the observation consists of multiple sub-observations (e.g. blood pressure).","Component in case the observation consists of multiple sub-observations (e.g. blood pressure).","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.component",0,*,"",""
"EHDSObservationCore.component.code","EHDSObservationCore.component.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code representing the observation using the agreed code systems.","Code representing the observation using the agreed code systems.","","","","","","","","","",,"preferred","LOINC, NPU, SNOMED CT","","",,,,"EHDSObservationCore.component.code",1,1,"",""
"EHDSObservationCore.component.result","EHDSObservationCore.component.result","","","",0,1,"","","","Base {[]} {[]}
","Result of the observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","Result of the observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.component.result",0,1,"",""
"EHDSObservationCore.component.result.value[x]","EHDSObservationCore.component.result.value[x]","","","",1,1,"","","","string {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}CodeableConcept {[]} {[]}","Observation result value according to the type of observation","Observation result value according to the type of observation","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.component.result.value[x]",1,1,"",""
"EHDSObservationCore.component.result.uncertainty","EHDSObservationCore.component.result.uncertainty","","","",0,1,"","","","Base {[]} {[]}
","Measurement uncertainty type and interval if needed.","Measurement uncertainty type and interval if needed.","","","","","","","","","",,,,,"",,,,"EHDSObservationCore.component.result.uncertainty",0,1,"",""
"EHDSObservationCore.component.referenceRange","EHDSObservationCore.component.referenceRange","","","",0,*,"","","","Base {[]} {[]}
","Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.","Reference range, multiple reference ranges of different types culd by provided. Provides guide for interpretation of result.","Reference ranges are usually implied only for a numeric scale type. Use of the same units for reference range and value is implied.","","","","","","","","",,,,,"",,,,"EHDSObservationCore.component.referenceRange",0,*,"",""
"EHDSObservationCore.component.interpretation","EHDSObservationCore.component.interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Information about reference intervals and result interpretation.","Information about reference intervals and result interpretation.","","","","","","","","","",,"preferred","SNOMED CT, HL7 ObservationInterpretation","","",,,,"EHDSObservationCore.component.interpretation",0,*,"",""
