"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSSpecimenCore","EHDSSpecimenCore","","","",0,*,"","","","null {[]} {[]}
","Specimen model","EHDS refined base model for A sample to be used for Analysis","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSSpecimenCore.identifier","EHDSSpecimenCore.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","An identifier of the specimen which is unique within in a defined scope.","An identifier of the specimen which is unique within in a defined scope. Example: identifier assigned by ordering system, identifier assigned by laboratory etc. Multiple identifiers can be used.","","","","","","","","","",,,,,"",,,,"EHDSSpecimenCore.identifier",1,*,"",""
"EHDSSpecimenCore.collectionPeriod","EHDSSpecimenCore.collectionPeriod","","","",0,1,"","","","Period {[]} {[]}
","The period or date and time of specimen collection.","The period or date and time of specimen collection.","","","","","","","","","",,,,,"",,,,"EHDSSpecimenCore.collectionPeriod",0,1,"",""
"EHDSSpecimenCore.bodySite","EHDSSpecimenCore.bodySite","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomic location (body location, laterality) where the material is collected, e.g. Elbow, left","Anatomic location (body location, laterality) where the material is collected, e.g. Elbow, left","","","","","","","","","",,,,,"",,,,"EHDSSpecimenCore.bodySite",0,1,"",""
"EHDSSpecimenCore.collectionProcedure","EHDSSpecimenCore.collectionProcedure","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}
","The procedure that collects the specimen.","The procedure that collects the specimen.","","","","","","","","","",,,,,"",,,,"EHDSSpecimenCore.collectionProcedure",0,1,"",""
"EHDSSpecimenCore.collectionProcedureMethod","EHDSSpecimenCore.collectionProcedureMethod","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Collection procedure method","If relevant for the results, the method of obtaining the specimen.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSSpecimenCore.collectionProcedureMethod",0,1,"",""
