"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSEncounterCore.admission.admitter","EHDSEncounterCore.admission.admitter","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Admitting healthcare professional","Admitting healthcare professional","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.admission.admitter",0,1,"",""
"EHDSEncounterCore.admission.admittingOrganization","EHDSEncounterCore.admission.admittingOrganization","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","Admitting healthcare professional","Admitting healthcare professional","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.admission.admittingOrganization",0,1,"",""
"EHDSEncounterCore.admission.admitSourceType","EHDSEncounterCore.admission.admitSourceType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","From where the patient was admitted (e.g. physician referral, transfer).","From where the patient was admitted (e.g. physician referral, transfer).","","","","","","","","","",,"preferred","hl7:admit-source","","",,,,"EHDSEncounterCore.admission.admitSourceType",0,1,"",""
"EHDSEncounterCore.admission.admitSource","EHDSEncounterCore.admission.admitSource","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","From where the patient was admitted (e.g. physician referral, transfer).","From where the patient was admitted (e.g. physician referral, transfer).","","","","","","","","","",,"preferred","hl7:admit-source","","",,,,"EHDSEncounterCore.admission.admitSource",0,1,"",""
"EHDSEncounterCore.admission.referringProfessional","EHDSEncounterCore.admission.referringProfessional","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Referring Healthcare Professional","Referring Healthcare Professional","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.admission.referringProfessional",0,1,"",""
"EHDSEncounterCore.admission.legalStatus","EHDSEncounterCore.admission.legalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Legal status/situation at admission (indicates the basis on which the patient is staying in a healthcare organisation).","Legal status can be either voluntary or involuntary, however the legal status is always determined by a court. A patient can also receive healthcare based on a forensic status. (voluntary, involuntary, admission by legal authority).","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSEncounterCore.admission.legalStatus",0,1,"",""
"EHDSEncounterCore.discharge","EHDSEncounterCore.discharge","","","",0,1,"","","","Base {[]} {[]}
","Discharge details","Discharge details","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.discharge",0,1,"",""
"EHDSEncounterCore.discharge.destinationType","EHDSEncounterCore.discharge.destinationType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.","Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.","","","","","","","","","",,"preferred","hl7.discharge-disposition","","",,,,"EHDSEncounterCore.discharge.destinationType",0,1,"",""
"EHDSEncounterCore.discharge.destinationLocation[x]","EHDSEncounterCore.discharge.destinationLocation[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}","The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.","The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.discharge.destinationLocation[x]",0,1,"",""
"EHDSEncounterCore.location","EHDSEncounterCore.location","","","",0,*,"","","","Base {[]} {[]}
","List of locations where the patient has been.","List of locations where the patient has been.","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.location",0,*,"",""
"EHDSEncounterCore.location.period","EHDSEncounterCore.location.period","","","",0,1,"","","","Period {[]} {[]}
","Time period during which the patient was present at the location","Time period during which the patient was present at the location","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.location.period",0,1,"",""
"EHDSEncounterCore.location.organisationPart[x]","EHDSEncounterCore.location.organisationPart[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}","Organisation or organisation part (department) where the patient was present.","Organisation or organisation part (department) where the patient was present.","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.location.organisationPart[x]",1,1,"",""
"EHDSEncounterCore.type","EHDSEncounterCore.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Encounter type","The type of the encounter whether inpatient or short stay encounter.","","","","","","","","","",,"preferred","hl7v3:ActEncounterCode","","",,,,"EHDSEncounterCore.type",1,1,"",""
"EHDSEncounterCore.note","EHDSEncounterCore.note","","","",0,1,"","","","string {[]} {[]}
","A narrative description of the encounter course.","A narrative description of the encounter course.","","","","","","","","","",,,,,"",,,,"EHDSEncounterCore.note",0,1,"",""
