"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientCore","EHDSPatientCore","","","",0,*,"","","","null {[]} {[]}
","Patient model","EHDS refined base model for patient (subject of care) information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientCore.name","EHDSPatientCore.name","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName {[]} {[]}
","Name associated with the patient/subject.","Name might consist of name parts, e.g. Given name or names, family name/surname, name prefix etc.","","","","","","","","","",,,,,"",,,,"EHDSPatientCore.name",0,*,"",""
"EHDSPatientCore.dateOfBirth","EHDSPatientCore.dateOfBirth","","","",0,1,"","","","dateTime {[]} {[]}
","Date of birth","The date of birth of the patient [ISO TS 22220]. As age of the patient might be important for correct interpretation of the test result values, complete date of birth should be provided.","","","","","","","","","",,,,,"",,,,"EHDSPatientCore.dateOfBirth",0,1,"",""
"EHDSPatientCore.personalIdentifier","EHDSPatientCore.personalIdentifier","","","",1,*,"","","","Identifier {[]} {[]}
","An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR).","An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR).","","","","","","","","","",,,,,"",,,,"EHDSPatientCore.personalIdentifier",1,*,"",""
"EHDSPatientCore.citizenship","EHDSPatientCore.citizenship","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Citizenship (nationality)","Citizenship/nationality of the patient.","","","","","","","","","",,"preferred","ISO 3166-1 alpha-2","","",,,,"EHDSPatientCore.citizenship",0,*,"",""
"EHDSPatientCore.administrativeGender","EHDSPatientCore.administrativeGender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Administrative gender","This field must contain a recognized valid value for ""administrative gender"". If different, ""physiological gender"" should be communicated elsewhere.","","","","","","","","","",,"preferred","HL7 Administrative Gender","","",,,,"EHDSPatientCore.administrativeGender",0,1,"",""
"EHDSPatientCore.countryOfAffiliation","EHDSPatientCore.countryOfAffiliation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The patient's country of affiliation","The patient's country of affiliation","","","","","","","","","",,"preferred","ISO 3166","","",,,,"EHDSPatientCore.countryOfAffiliation",0,1,"",""
"EHDSPatientCore.address","EHDSPatientCore.address","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Mailing and home or office addresses.","The addresses are always sequences of address parts (e.g. street address line, country, postal code, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.","","","","","","","","","",,,,,"",,,,"EHDSPatientCore.address",0,*,"",""
"EHDSPatientCore.telecom","EHDSPatientCore.telecom","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom {[]} {[]}
","Telecommunication contact information (addresses) associated to a person.","Telecommunication contact information (addresses) associated to a person.","","","","","","","","","",,,,,"",,,,"EHDSPatientCore.telecom",0,*,"",""
